time,XAUUSD,EURUSD,NAS100,US30,SPX500,USDJPY
2016-09-12,1321.0,1.1241133213043213,4764.64990234375,18325.0703125,2159.0400390625,102.43800354003906
2016-09-13,1319.0,1.1243535280227661,4722.85009765625,18066.75,2127.02001953125,101.7509994506836
2016-09-14,1321.5,1.12186861038208,4746.06005859375,18034.76953125,2125.77001953125,102.50399780273438
2016-09-15,1313.5,1.1247328519821167,4819.89990234375,18212.48046875,2147.260009765625,102.5479965209961
2016-09-16,1305.800048828125,1.124593734741211,4818.0498046875,18123.80078125,2139.159912109375,102.00800323486328
2016-09-19,1313.5,1.1158473491668701,4796.06982421875,18120.169921875,2139.1201171875,102.30699920654297
2016-09-20,1313.699951171875,1.118067979812622,4805.22021484375,18129.9609375,2139.760009765625,101.84600067138672
2016-09-21,1326.9000244140625,1.1153992414474487,4853.75,18293.69921875,2163.1201171875,101.5469970703125
2016-09-22,1340.4000244140625,1.1193194389343262,4891.35986328125,18392.4609375,2177.179931640625,100.39299774169922
2016-09-23,1337.199951171875,1.1210134029388428,4858.91015625,18261.44921875,2164.68994140625,100.83100128173828
2016-09-26,1339.699951171875,1.123923897743225,4817.169921875,18094.830078125,2146.10009765625,100.88899993896484
2016-09-27,1325.9000244140625,1.124985933303833,4866.7099609375,18228.30078125,2159.929931640625,100.35900115966797
2016-09-28,1319.4000244140625,1.121956706047058,4875.27001953125,18339.240234375,2171.3701171875,100.46800231933594
2016-09-29,1321.699951171875,1.1224982738494873,4838.2998046875,18143.44921875,2151.1298828125,100.93499755859375
2016-09-30,1313.300048828125,1.121956706047058,4875.7001953125,18308.150390625,2168.27001953125,101.1989974975586
2016-10-03,1309.0,1.1234692335128784,4866.6298828125,18253.849609375,2161.199951171875,101.56300354003906
2016-10-04,1266.300048828125,1.121038556098938,4859.47021484375,18168.44921875,2150.489990234375,101.81700134277344
2016-10-05,1265.199951171875,1.121076226234436,4877.75,18281.029296875,2159.72998046875,102.87999725341797
2016-10-06,1249.800048828125,1.120824933052063,4873.919921875,18268.5,2160.77001953125,103.45999908447266
2016-10-07,1248.9000244140625,1.1144545078277588,4864.52001953125,18240.490234375,2153.739990234375,103.76499938964844
2016-10-10,1248.9000244140625,1.1196954250335693,4893.77001953125,18329.0390625,2163.659912109375,103.01799774169922
2016-10-11,1253.0,1.1140819787979126,4821.91015625,18128.66015625,2136.72998046875,103.6969985961914
2016-10-12,1251.0999755859375,1.1061947345733643,4819.64013671875,18144.19921875,2139.179931640625,103.34200286865234
2016-10-13,1255.0,1.1011881828308105,4803.10009765625,18098.939453125,2132.550048828125,104.30400085449219
2016-10-14,1253.0999755859375,1.1049723625183105,4808.47998046875,18138.380859375,2132.97998046875,103.72200012207031
2016-10-17,1254.4000244140625,1.0967799425125122,4796.169921875,18086.400390625,2126.5,104.03900146484375
2016-10-18,1260.800048828125,1.1015641689300537,4839.72021484375,18161.939453125,2139.60009765625,103.85099792480469
2016-10-19,1267.9000244140625,1.0976948738098145,4836.60986328125,18202.619140625,2144.2900390625,103.86499786376953
2016-10-20,1265.5999755859375,1.0975141525268555,4832.7099609375,18162.349609375,2141.340087890625,103.39099884033203
2016-10-21,1265.9000244140625,1.0930395126342773,4851.85986328125,18145.7109375,2141.159912109375,104.10900115966797
2016-10-24,1262.0,1.0882576704025269,4909.97021484375,18223.029296875,2151.330078125,103.91699981689453
2016-10-25,1271.9000244140625,1.0875475406646729,4891.4501953125,18169.26953125,2143.159912109375,104.32099914550781
2016-10-26,1264.800048828125,1.0887316465377808,4860.58984375,18199.330078125,2139.429931640625,104.15399932861328
2016-10-27,1267.9000244140625,1.091202735900879,4836.4501953125,18169.6796875,2133.0400390625,104.56300354003906
2016-10-28,1275.5,1.0900371074676514,4805.58984375,18161.189453125,2126.409912109375,105.20899963378906
2016-10-31,1271.5,1.0984665155410767,4801.27001953125,18142.419921875,2126.14990234375,104.56500244140625
2016-11-01,1286.4000244140625,1.0973334312438965,4766.93994140625,18037.099609375,2111.719970703125,104.81999969482422
2016-11-02,1306.800048828125,1.1057054996490479,4726.91015625,17959.640625,2097.93994140625,104.09200286865234
2016-11-03,1302.0999755859375,1.1097548007965088,4679.10009765625,17930.669921875,2088.659912109375,103.37799835205078
2016-11-04,1303.300048828125,1.1102476119995117,4660.4599609375,17888.279296875,2085.179931640625,103.052001953125
2016-11-07,1278.300048828125,1.1101243495941162,4773.72998046875,18259.599609375,2131.52001953125,104.19499969482422
2016-11-08,1273.4000244140625,1.1052166223526,4804.919921875,18332.740234375,2139.56005859375,104.43800354003906
2016-11-09,1272.5999755859375,1.1019041538238525,4825.18017578125,18589.689453125,2163.260009765625,105.02999877929688
2016-11-10,1265.5,1.0920606851577759,4747.02978515625,18807.880859375,2167.47998046875,105.85299682617188
2016-11-11,1265.5,1.0889687538146973,4751.9501953125,18847.66015625,2164.449951171875,106.85600280761719
2016-11-14,1221.199951171875,1.0824854373931885,4702.0400390625,18868.689453125,2164.199951171875,106.87100219726562
2016-11-15,1224.0,1.0750375986099243,4764.47021484375,18923.060546875,2180.389892578125,108.2020034790039
2016-11-16,1223.4000244140625,1.0727311372756958,4792.27001953125,18868.140625,2176.93994140625,109.03800201416016
2016-11-17,1216.5,1.0706638097763062,4826.58984375,18903.8203125,2187.1201171875,108.78500366210938
2016-11-18,1208.5,1.062304139137268,4808.0400390625,18867.9296875,2181.89990234375,110.25599670410156
2016-11-21,1209.5999755859375,1.0584250688552856,4859.0,18956.689453125,2198.179931640625,110.9729995727539
2016-11-22,1211.0,1.0638864040374756,4873.83984375,19023.869140625,2202.93994140625,110.6500015258789
2016-11-23,1189.0999755859375,1.0633772611618042,4853.85986328125,19083.1796875,2204.719970703125,111.00599670410156
2016-11-24,1189.0999755859375,1.0545185804367065,4853.85986328125,19083.1796875,2204.719970703125,112.58200073242188
2016-11-25,1178.199951171875,1.0561892986297607,4870.02001953125,19152.140625,2213.35009765625,113.29199981689453
2016-11-28,1190.5999755859375,1.0612331628799438,4857.02001953125,19097.900390625,2201.719970703125,112.6520004272461
2016-11-29,1187.9000244140625,1.062134861946106,4873.2099609375,19121.599609375,2204.659912109375,111.69000244140625
